epoch,categorical_accuracy,loss,lr,val_5-shot_20-way_acc,val_loss
1,0.7694666666666669,0.7562121791400018,0.001,0.83,0.7216405305571613
2,0.8714666666666665,0.3838311242753457,0.001,0.8745,0.6091179628405563
3,0.9129333333333334,0.2588091398357684,0.001,0.8915,0.40314339072905125
4,0.9289333333333327,0.2260555095788134,0.001,0.901,0.3916246940564826
5,0.9358666666666661,0.20005411126871248,0.001,0.9135,0.3262538291492893
6,0.941333333333333,0.16745641180004378,0.001,0.9235,0.30840108404234545
7,0.9331999999999999,0.2089804482726548,0.001,0.929,0.30364074781588973
8,0.9494666666666665,0.16827813811180878,0.001,0.946,0.23046128977981425
9,0.9515999999999994,0.1463269663105174,0.001,0.9395,0.24291149239416013
10,0.9567999999999992,0.13242668502586954,0.001,0.94,0.25280496347064496
11,0.9623999999999994,0.11637764201119101,0.001,0.9425,0.19989286017093938
12,0.9629333333333325,0.11095541980813747,0.001,0.952,0.1911257630522489
13,0.969466666666666,0.08955547229912457,0.001,0.9445,0.20013991611552062
14,0.958133333333333,0.11841362312374976,0.001,0.933,0.23577022636825382
15,0.9681333333333328,0.10814970169372205,0.001,0.9455,0.197516462408935
16,0.9626666666666663,0.11496001919137722,0.001,0.9665,0.17280522332400217
17,0.9675999999999998,0.10243213584330667,0.001,0.957,0.19763008407670735
18,0.9767999999999994,0.07236010003780514,0.001,0.953,0.18535736340012396
19,0.9627999999999998,0.12004029502972458,0.001,0.9685,0.13442776495099834
20,0.9755999999999994,0.08091454935716208,0.001,0.963,0.18784388335765584
21,0.9778666666666659,0.06885395157906618,0.001,0.963,0.14842030248628174
22,0.9751999999999995,0.07341916412980036,0.001,0.956,0.18355000487158704
23,0.9734666666666666,0.08074938139054211,0.001,0.962,0.1585037665149556
24,0.9763999999999996,0.06686476983459143,0.001,0.9595,0.14652911453344813
25,0.9777333333333328,0.07404237827580391,0.001,0.956,0.17117243300605475
26,0.9754666666666664,0.06972741092045286,0.001,0.9605,0.14244502568353198
27,0.971066666666666,0.0962433362052602,0.001,0.9745,0.1558002340897602
28,0.9797333333333331,0.06811734067141761,0.001,0.9615,0.16387524231348427
29,0.9813333333333328,0.05561630216845103,0.001,0.957,0.20958396422735454
30,0.9793333333333331,0.056564960038665575,0.001,0.9595,0.14139305779857433
31,0.9815999999999996,0.0611609577271043,0.001,0.9755,0.13417531684100123
32,0.9866666666666662,0.04382013117728443,0.001,0.96,0.15067483249038982
33,0.9787999999999996,0.0655725290927771,0.001,0.968,0.124337007099977
34,0.9826666666666662,0.05337425173284012,0.001,0.9655,0.14251353253111734
35,0.9766666666666661,0.08795442511912542,0.001,0.9715,0.13697317808963733
36,0.9823999999999994,0.05502073425720721,0.001,0.971,0.116760191562818
37,0.9787999999999996,0.06498749295440125,0.001,0.9635,0.17057051671271803
38,0.9858666666666661,0.04150107203790667,0.001,0.968,0.11142565548271526
39,0.9829333333333332,0.05444162875587225,0.001,0.9685,0.12201981831434504
40,0.9779999999999996,0.06533977919266905,0.001,0.978,0.10604274963963387
41,0.9819999999999997,0.059305097059369274,0.001,0.97,0.13990015634285763
42,0.9783999999999995,0.08135770289803845,0.001,0.971,0.1219149383898582
43,0.9857333333333329,0.04037497211308366,0.001,0.972,0.11052231129626866
44,0.9794666666666666,0.06720901323849414,0.001,0.9585,0.15527510568550051
45,0.9794666666666662,0.06043312189821656,0.001,0.9665,0.13322463916290284
46,0.9834666666666665,0.05360647118143996,0.001,0.967,0.12376349371282455
47,0.986533333333333,0.03904562200226777,0.001,0.972,0.11548968961136391
48,0.9846666666666666,0.0573476709694504,0.001,0.9705,0.12134037014230308
49,0.9821333333333331,0.050506474803011486,0.001,0.9725,0.09320254025898164
50,0.9819999999999999,0.0591955636443245,0.001,0.9725,0.10487720012175734
51,0.9823999999999994,0.045980747144524416,0.001,0.968,0.10841249636873067
52,0.9825333333333333,0.05459467219971218,0.001,0.9685,0.1308483229782947
53,0.9790666666666662,0.06783962410445024,0.001,0.9735,0.11868807999643818
54,0.9859999999999998,0.044669097585631486,0.001,0.973,0.11482753882165024
55,0.9805333333333328,0.07247571944698566,0.001,0.9785,0.09590512202075036
56,0.9775999999999995,0.06584759030754125,0.001,0.9735,0.11068450421176602
57,0.9827999999999997,0.058123456118644896,0.001,0.974,0.10709707603056369
58,0.9885333333333328,0.03769697074377917,0.001,0.9665,0.11374066722228551
59,0.9778666666666664,0.06940471338894207,0.001,0.9725,0.1277748603199528
60,0.983733333333333,0.04454240041293171,0.001,0.9785,0.09739173861790036
61,0.9834666666666664,0.05937520532763691,0.001,0.973,0.12432803657240245
