epoch,categorical_accuracy,loss,lr,val_1-shot_20-way_acc,val_loss
1,0.6550666666666668,1.3492591176315198,0.001,0.3465,2.769755708940567
2,0.692666666666667,1.2982476847446276,0.001,0.3735,2.7082305430065414
3,0.6890666666666667,1.293974206608334,0.001,0.404,2.654246733832678
4,0.7202666666666667,1.2627360813157242,0.001,0.4005,2.654704668279193
