epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.7855999999999996,0.6717682695185639,0.001,0.806,0.5859851442106399
2,0.8615999999999994,0.4089155158151594,0.001,0.85,0.46583111634111785
3,0.9227999999999996,0.251916169824315,0.001,0.852,0.4181027843393446
4,0.9310666666666662,0.21539241172344617,0.001,0.912,0.22772980093668577
5,0.9329333333333331,0.20229483764086992,0.001,0.916,0.23386745672355302
6,0.9403999999999995,0.18264604860925826,0.001,0.948,0.1480820190393862
7,0.9574666666666662,0.12767750301916564,0.001,0.924,0.23218055453738617
8,0.9535999999999997,0.16227896925370472,0.001,0.918,0.2340273707720143
9,0.9502666666666663,0.15908399014583263,0.001,0.918,0.204558270490574
10,0.9641333333333328,0.11790812793701858,0.001,0.924,0.22341127267683547
11,0.9570666666666662,0.1251758476681782,0.001,0.92,0.25316888324018644
12,0.9587999999999998,0.13693291827229723,0.001,0.944,0.16872974591605075
13,0.961866666666666,0.11704340043981826,0.001,0.956,0.21099772289510574
14,0.9642666666666664,0.1076284456783096,0.001,0.948,0.19789832544883013
15,0.9683999999999996,0.10743279124408982,0.001,0.962,0.15030709978456655
16,0.9714666666666661,0.09485986728072654,0.001,0.956,0.12117508779511693
17,0.9618666666666662,0.13421353518604243,0.001,0.952,0.15090237771990744
18,0.9605333333333335,0.14077164674852838,0.001,0.952,0.16694531213203095
19,0.9789333333333332,0.06614839521353924,0.001,0.958,0.13116867233966398
20,0.9647999999999997,0.10017263021284074,0.001,0.962,0.1403848521792113
21,0.9706666666666667,0.09903357947837352,0.001,0.948,0.14870963193921727
22,0.9767999999999997,0.06991469072709558,0.001,0.966,0.09730849263337722
23,0.9789333333333324,0.06386566731191831,0.001,0.936,0.19892747331366925
24,0.977733333333333,0.06628406134186393,0.001,0.952,0.12486431427175891
25,0.9666666666666665,0.09397652404996865,0.001,0.964,0.1360802412202209
26,0.9746666666666666,0.0940042562981135,0.001,0.954,0.13854676422087206
27,0.9698666666666661,0.10592617053153815,0.001,0.944,0.1648903631550332
28,0.9738666666666664,0.08233611461759717,0.001,0.948,0.147665993323964
29,0.9763999999999993,0.07335511578427378,0.001,0.952,0.1792967611764511
30,0.976933333333333,0.0640668702617432,0.001,0.956,0.13706474755046963
31,0.975866666666666,0.06605632555000239,0.001,0.962,0.11611955775997802
32,0.9767999999999993,0.08205107348644844,0.001,0.954,0.10613437781183908
33,0.9849333333333327,0.04624046512141567,0.001,0.96,0.1451656020969475
34,0.9793333333333325,0.0748129956153579,0.001,0.964,0.1516033754850154
35,0.9783999999999996,0.08510254869543404,0.001,0.956,0.10727417558024763
36,0.9765333333333329,0.09605930044719005,0.001,0.95,0.19383508306239042
37,0.9825333333333331,0.05809244983927843,0.001,0.954,0.1486951822090636
38,0.9791999999999996,0.06032012492531554,0.001,0.952,0.17970457346668928
39,0.9730666666666663,0.09316941541386513,0.001,0.974,0.08393561204585882
40,0.9853333333333327,0.046071241899125835,0.001,0.978,0.10437184181679998
41,0.9833333333333332,0.05466167671762447,0.001,0.97,0.08072637162983522
42,0.9853333333333331,0.04808827815265353,0.001,0.974,0.0942327801548379
43,0.9785333333333334,0.06561635479479261,0.001,0.954,0.158430765072377
44,0.9858666666666663,0.04703363628266338,0.001,0.974,0.078586534220283
45,0.9790666666666662,0.06535780322086601,0.001,0.962,0.12787449340493234
46,0.9805333333333328,0.05729369329692258,0.001,0.966,0.09073245053099993
47,0.9833333333333327,0.04985918770293451,0.001,0.962,0.1404819778082899
48,0.9795999999999995,0.06017558494115339,0.001,0.966,0.09687073720460318
49,0.9755999999999995,0.06983033152488334,0.001,0.974,0.0781479798087041
50,0.9834666666666663,0.04988830006099582,0.001,0.968,0.12481203567014998
51,0.9857333333333327,0.03951789201476725,0.001,0.972,0.09488419969657232
52,0.9850666666666662,0.05037624192567272,0.001,0.978,0.06807328237190527
53,0.9871999999999995,0.03889673176430533,0.001,0.956,0.16352816383615115
54,0.9847999999999998,0.04395877446369828,0.001,0.976,0.09105009963251587
55,0.9871999999999997,0.03961108048203893,0.001,0.98,0.07166174951519781
56,0.982933333333333,0.04479193474540094,0.001,0.96,0.11134330851662898
57,0.9810666666666665,0.0508788993096134,0.001,0.968,0.11933233798049654
58,0.9799999999999999,0.08411801467913936,0.001,0.974,0.0965710506315771
59,0.9871999999999997,0.03816507880360739,0.001,0.968,0.11656549011653324
60,0.9867999999999993,0.04513828384656606,0.001,0.966,0.1259765001990885
61,0.9774666666666668,0.07087347519548712,0.001,0.952,0.14987073115729352
62,0.9871999999999999,0.03766901797177562,0.001,0.98,0.06431193546843575
63,0.9859999999999995,0.04017381723164739,0.001,0.97,0.10503350923257321
64,0.9821333333333329,0.04696173685767755,0.001,0.968,0.09615141512670036
65,0.9839999999999995,0.060238606961510205,0.001,0.98,0.08380570205005584
66,0.9819999999999997,0.05621877862162258,0.001,0.97,0.08034156975970355
67,0.9810666666666661,0.0769542144996727,0.001,0.958,0.137376014800479
68,0.9831999999999996,0.05371042130289152,0.001,0.978,0.07152727160612932
69,0.9883999999999996,0.03551932358605984,0.001,0.982,0.06758074912211147
70,0.9821333333333329,0.0562316248567245,0.001,0.95,0.1732150954492528
71,0.9914666666666665,0.02655243174047867,0.001,0.972,0.08299047324698833
72,0.9870666666666663,0.039429317741233795,0.001,0.978,0.09233188045894067
